-1.02, 0.21,1
-2.1, -1.64,1
-1.55, -1.17,1
-1.72, -0.89,1
-0.98, 0.05,1
0.43, -0.47,1
2.9, -0.63,1
1.39, 0.83,1
3.95, 0.09,1
0.33, 2.45,1
-2.92, 0.84,1
0.99, -1.01,1
-0.54, 0.08,1
2.58, -0.85,1
1.36, 1.67,1
-2.24, 1.03,1
-1.77, 0.2,1
0.9, -0.79,1
1.0, 1.0,1
-1.0, 0.0,1
-1.0, -1.0,1
-1.0, 0.0,1
0.0, -1.0,1
-2.0, 0.0,1
-3.0, -2.0,-1
-4.0, -0.0,-1
-2.0, -4.0,-1
-2.0, 0.0,1
-2.0, -1.0,1
0.0, 1.0,1
-2.0, -0.0,1
-3.0, -1.0,-1
-2.0, -2.0,-1
1.0, -3.0,-1
-2.0, -1.0,1
-0.0, -2.0,1
-3.0, -1.0,-1
-2.0, -1.0,1
-1.0, 0.0,1
-5.0, 3.0,-1
1.0, -1.0,1
0.0, -0.0,1
0.0, 0.0,1
-1.0, 0.0,1
-2.0, -1.0,1
0.0, -2.0,1
-3.0, -1.0,1
-1.0, -3.0,-1
-2.0, -2.0,-1
-3.0, -2.0,-1
-3.0, -2.0,-1
0.0, -3.0,-1
3.0, -2.0,-1
1.0, -0.0,1
1.0, -0.0,1
0.0, -0.0,1
1.0, -1.0,1
0.0, -0.0,1
1.0, -1.0,1
-1.0, 1.0,1
-1.0, 0.0,1
-3.0, 0.0,1
-4.0, -2.0,-1
-2.0, -2.0,-1
-2.0, -1.0,1
-3.0, -3.0,-1
-2.0, -1.0,1
-4.0, -3.0,-1
-1.0, -4.0,-1
-1.0, -2.0,1
-1.0, -2.0,-1
-3.0, -1.0,-1
-3.0, -0.0,1
-3.0, -2.0,-1
-1.0, -3.0,-1
-3.0, 1.0,-1
-0.0, -2.0,-1
2.0, -0.0,1
-0.0, -1.0,1
-1.0, -1.0,1
-1.0, -1.0,1
-0.0, 0.0,1
2.0, -0.0,1
-1.0, 0.0,1
-1.0, 1.0,1
-2.0, -1.0,1
-0.0, -1.0,1
-2.0, -0.0,1
-2.0, -0.0,1
-3.0, -2.0,-1
1.0, -2.0,-1
-0.0, 0.0,1
-2.0, 1.0,1
-4.0, -1.0,-1
-2.0, -2.0,1
-2.0, -3.0,-1
-2.0, -3.0,-1
-1.0, -1.0,1
-1.0, -1.0,1
-0.0, 1.0,1
-2.0, -0.0,1
2.0, -2.0,-1
-0.0, -2.0,1
-1.0, -1.0,1
2.0, -1.0,1
0.0, 0.0,1
-5.0, 2.0,-1
-2.0, 0.0,1
-2.0, -1.0,1
-0.0, -1.0,1
-2.0, -0.0,1
-2.0, -2.0,1
1.0, -2.0,-1
-2.0, -0.0,1
0.0, -2.0,1
-2.0, -1.0,1
1.0, -2.0,-1
-0.0, 0.0,1
-2.0, -1.0,1
0.0, 1.0,1
-1.0, -0.0,1
-1.0, 1.0,1
0.0, 0.0,1
-3.0, 1.0,1
-1.0, -2.0,1
-3.0, -0.0,1
-1.0, -1.0,1
-2.0, -1.0,1
-2.0, -1.0,1
2.0, -1.0,1
2.0, -1.0,1
0.0, 0.0,1
3.0, -0.0,1
2.0, 1.0,1
0.0, 1.0,1
-1.0, 0.0,1
-3.0, -0.0,1
-7.0, 2.0,-1
-4.0, -2.0,-1
-0.0, -2.0,-1
3.0, -0.0,1
0.0, 0.0,1
-1.0, -1.0,1
-3.0, -2.0,-1
-2.0, -2.0,1
1.0, -3.0,-1
1.0, -0.0,1
-1.0, 0.0,1
-1.0, 1.0,1
-2.0, -3.0,-1
-1.0, -3.0,-1
-2.0, -1.0,1
-3.0, -1.0,-1
-4.0, -1.0,-1
-2.0, -3.0,-1
-2.0, -3.0,-1
2.0, -2.0,-1
3.0, -1.0,-1
1.0, 1.0,1
-2.0, 1.0,1
-1.0, -1.0,1
-2.0, -2.0,-1
-1.0, -1.0,1
-1.0, 1.0,1
2.0, -0.0,1
2.0, -1.0,1
3.0, 0.0,1
-0.0, 0.0,1
-0.0, -2.0,1
-1.0, -4.0,-1
-2.0, -2.0,-1
-3.0, -1.0,-1
-1.0, -2.0,-1
0.0, -3.0,-1
0.0, -1.0,1
-2.0, -0.0,1
-1.0, -1.0,1
-2.0, -2.0,1
-3.0, -2.0,-1
-3.0, -3.0,-1
-2.0, -3.0,-1
-1.0, -1.0,1
-1.0, 0.0,1
-1.0, 0.0,1
-3.0, -0.0,-1
0.0, -2.0,-1
-0.0, -1.0,1
-0.0, -0.0,1
1.0, -2.0,1
-0.0, 0.0,1
-1.0, -0.0,1
0.0, 1.0,1
-0.0, -0.0,1
-3.0, -2.0,-1
-2.0, -1.0,1
-4.0, -2.0,-1
-3.0, -3.0,-1
1.0, -3.0,-1
-0.0, -0.0,1
-2.0, -0.0,1
-2.0, -1.0,1
-2.0, -2.0,-1
-1.0, -3.0,-1
2.0, -1.0,1
-2.0, -1.0,1
-4.0, 0.0,-1
-4.0, -1.0,-1
-3.0, -2.0,-1
-3.0, -2.0,-1
0.0, -2.0,-1
3.0, -1.0,-1
3.0, -1.0,1
1.0, 0.0,1
3.0, 0.0,1
3.0, -1.0,1
1.0, 0.0,1
1.0, -1.0,1
-0.0, -2.0,-1
-1.0, -1.0,1
-2.0, -0.0,1
-1.0, -2.0,-1
0.0, -0.0,1
0.0, -1.0,1
2.0, -1.0,1
1.0, 0.0,1
1.0, 0.0,1
0.0, 0.0,1
-0.0, 1.0,1
-1.0, 0.0,1
-1.0, -1.0,1
-3.0, -1.0,-1
-3.0, -2.0,-1
-1.0, -1.0,1
-2.0, -2.0,1
-1.0, -2.0,1
-1.0, -2.0,-1
1.0, -2.0,-1
-2.0, -3.0,-1
-2.0, -2.0,-1
0.0, -3.0,-1
-3.0, -1.0,-1
-3.0, -2.0,-1
-2.0, -0.0,1
-2.0, -1.0,1
1.0, -1.0,1
0.0, 1.0,1
1.0, -2.0,-1
4.0, -1.0,-1
1.0, 0.0,1
-0.0, 1.0,1
-1.0, -2.0,1
-1.0, -1.0,1
-4.0, -1.0,-1
-3.0, -3.0,-1
-2.0, -2.0,-1
-3.0, -1.0,-1
