1.0, -1.0,1
1.0, -1.0,1
1.0, -0.0,1
1.0, -1.0,1
-1.0, -2.0,-1
-4.0, -2.0,-1
-3.0, -2.0,-1
0.0, -4.0,-1
2.0, -6.0,-1
4.0, -1.0,1
6.0, -1.0,-1
6.0, -4.0,-1
5.0, -0.0,1
3.0, -1.0,1
5.0, -2.0,-1
4.0, -4.0,-1
4.0, -3.0,-1
5.0, -3.0,-1
4.0, -3.0,-1
3.0, -2.0,-1
2.0, -1.0,1
2.0, -2.0,-1
4.0, -4.0,-1
2.0, -2.0,1
2.0, 0.0,1
-0.0, -1.0,1
-1.0, -1.0,-1
3.0, -2.0,-1
3.0, -2.0,-1
6.0, -3.0,-1
5.0, -3.0,-1
5.0, -2.0,-1
5.0, -5.0,-1
4.0, -3.0,-1
1.0, -2.0,-1
-1.0, -3.0,-1
-1.0, -2.0,-1
3.0, -3.0,-1
3.0, -6.0,-1
3.0, -7.0,-1
5.0, -4.0,-1
4.0, -4.0,-1
3.0, -3.0,-1
4.0, -6.0,-1
4.0, -5.0,-1
5.0, -4.0,-1
4.0, -5.0,-1
4.0, -2.0,-1
4.0, 0.0,1
0.0, 0.0,1
-3.0, -1.0,-1
2.0, -0.0,1
2.0, -1.0,1
4.0, -2.0,-1
6.0, -1.0,-1
5.0, -0.0,-1
5.0, 0.0,1
3.0, 0.0,1
1.0, -2.0,1
9.0, 10.0,-1
6.0, -0.0,-1
6.0, -0.0,-1
4.0, -2.0,-1
6.0, 0.0,-1
10.0, -1.0,-1
7.0, -3.0,-1
2.0, -2.0,-1
0.0, 1.0,1
2.0, 1.0,1
-0.0, 0.0,1
-1.0, -1.0,1
4.0, 1.0,1
2.0, 0.0,1
-2.0, -1.0,1
-2.0, -3.0,-1
-3.0, -2.0,-1
-2.0, -1.0,1
1.0, 0.0,1
-0.0, -1.0,1
-4.0, -1.0,1
-0.0, 3.0,-1
4.0, 2.0,1
1.0, 0.0,1
0.0, -1.0,1
4.0, 9.0,-1
-3.0, 1.0,1
3.0, 1.0,1
2.0, -1.0,1
1.0, -1.0,1
2.0, -2.0,-1
3.0, -2.0,1
1.0, -1.0,1
4.0, 1.0,1
5.0, -1.0,-1
0.0, -0.0,1
0.0, -0.0,1
-0.0, -1.0,1
0.0, -1.0,1
2.0, -0.0,1
4.0, -3.0,-1
4.0, -4.0,-1
4.0, -1.0,1
4.0, -3.0,-1
3.0, -3.0,-1
3.0, -1.0,1
4.0, 5.0,-1
1.0, 6.0,-1
4.0, 2.0,1
4.0, 1.0,1
2.0, -1.0,1
1.0, 2.0,1
1.0, 2.0,1
1.0, -1.0,1
-3.0, -1.0,-1
-4.0, -1.0,-1
-1.0, -0.0,1
-1.0, -2.0,-1
1.0, 0.0,1
1.0, 1.0,1
1.0, 1.0,1
5.0, -1.0,1
3.0, -1.0,1
1.0, -1.0,1
-3.0, -1.0,-1
-2.0, -1.0,1
1.0, -1.0,1
0.0, -1.0,1
200.0, 314.0,-1
166.0, 215.0,-1
97.0, 44.0,-1
98.0, 41.0,-1
5.0, -3.0,-1
3.0, -2.0,-1
2.0, -1.0,1
